match_index,frame_id,timestamp,se3_error_m,sim3_error_m,global_sim3_scale,est_step_m,gt_step_m,est_gt_step_ratio,is_keyframe_created,tracked_map_points,tracked_static_map_points,inlier_map_matches_after_pose,local_map_matches_before_pose,v14_static_inlier_count,v14_static_inlier_grid_coverage,v14_boundary_inlier_frac,v14_step_ratio_proxy,v14_recent_keyframe_rate,v14_recent_keyframes_per_m,v14_support_low,v14_motion_pressure,v14_keyframe_pressure,v14_boundary_pressure,v14_pose_chain_risk,segment
64,67,1341846650.046184063,0.125277757,0.268706491,0.451040600,0.023660591,0.010410091,2.272851475,1,336,336,307,517,315,0.048177000,0.130952000,1.129790000,0.533333000,37.189002000,1,0,1,0,0,0-149
65,68,1341846650.078249931,0.122430986,0.269751410,0.451040600,0.016108106,0.007462573,2.158518981,0,314,314,314,479,297,0.052083000,0.085987000,1.920119000,0.533333000,37.211584000,0,0,1,0,0,0-149
66,69,1341846650.114214897,0.127508761,0.277377141,0.451040600,0.009157458,0.007810250,1.172492306,0,303,303,303,485,277,0.047201000,0.118812000,0.681881000,0.500000000,34.555785000,1,0,1,0,0,0-149
67,70,1341846650.146136999,0.120328380,0.280793943,0.451040600,0.016608219,0.010058827,1.651108907,0,282,282,282,470,256,0.045247000,0.141844000,1.236679000,0.466667000,32.515349000,1,0,1,0,0,0-149
68,71,1341846650.182235956,0.127955786,0.284209563,0.451040600,0.013480850,0.007214569,1.868559350,0,259,259,259,469,244,0.044271000,0.096525000,0.945961000,0.433333000,29.687345000,1,0,1,0,0,0-149
69,72,1341846650.214164019,0.140553231,0.294226720,0.451040600,0.011145563,0.007595393,1.467410869,1,322,322,250,424,304,0.050456000,0.071429000,0.902052000,0.400000000,27.754238000,0,0,1,0,0,0-149
70,73,1341846650.246083975,0.137830360,0.299830480,0.451040600,0.010072088,0.009009994,1.117879444,1,367,367,321,492,338,0.054362000,0.125341000,0.481112000,0.433333000,30.493152000,0,0,1,0,0,0-149
71,74,1341846650.282166958,0.128956413,0.297857606,0.451040600,0.020174518,0.006567343,3.071945088,1,350,350,285,494,338,0.054362000,0.057143000,1.782825000,0.466667000,32.876493000,0,0,1,0,0,0-149
72,75,1341846650.314157963,0.142702081,0.305988678,0.451040600,0.013661559,0.006256197,2.183684369,1,389,389,346,550,368,0.056641000,0.061697000,1.436214000,0.500000000,33.995913000,0,0,1,0,0,0-149
73,76,1341846650.350452900,0.151803705,0.312343881,0.451040600,0.004203151,0.006438167,0.652848981,0,363,363,363,523,337,0.053060000,0.110193000,0.988512000,0.533333000,35.668988000,0,0,1,0,0,0-149
74,77,1341846650.382075071,0.145742244,0.310813280,0.451040600,0.015134271,0.003318132,4.561081513,0,333,333,333,501,307,0.052734000,0.114114000,1.058201000,0.533333000,35.660903000,0,0,1,0,0,0-149
