match_index,frame_id,timestamp,se3_error_m,sim3_error_m,global_sim3_scale,est_step_m,gt_step_m,est_gt_step_ratio,is_keyframe_created,tracked_map_points,tracked_static_map_points,inlier_map_matches_after_pose,local_map_matches_before_pose,v14_static_inlier_count,v14_static_inlier_grid_coverage,v14_boundary_inlier_frac,v14_step_ratio_proxy,v14_recent_keyframe_rate,v14_recent_keyframes_per_m,v14_support_low,v14_motion_pressure,v14_keyframe_pressure,v14_boundary_pressure,v14_pose_chain_risk,segment
99,102,1341846651.218035936,0.138953906,0.191726612,0.424366525,0.011055208,0.010467569,1.056139032,1,536,536,410,674,528,0.090820000,0.027985000,0.815544000,0.633333000,45.568357000,0,0,1,0,0,0-149
100,103,1341846651.254030943,0.136479341,0.186254284,0.424366525,0.008159947,0.010093067,0.808470496,0,435,435,435,657,427,0.076497000,0.041379000,0.798213000,0.633333000,45.958363000,0,0,1,0,0,0-149
101,104,1341846651.286406040,0.131986362,0.177214902,0.424366525,0.009924225,0.014263590,0.695773309,0,388,388,388,630,378,0.066406000,0.074742000,0.820463000,0.600000000,43.393858000,0,0,1,0,0,0-149
102,105,1341846651.318309069,0.122588118,0.168865797,0.424366525,0.012161603,0.011038569,1.101737290,0,344,344,344,604,338,0.061849000,0.046512000,1.023761000,0.566667000,41.764695000,0,0,1,0,0,0-149
103,106,1341846651.354135036,0.114961163,0.161872756,0.424366525,0.014226211,0.011201339,1.270045578,1,528,528,318,577,521,0.085612000,0.060606000,1.116114000,0.533333000,39.567868000,0,0,1,0,0,0-149
104,107,1341846651.386179924,0.102542347,0.150652147,0.424366525,0.015210023,0.014525151,1.047150826,1,522,522,346,607,520,0.091797000,0.028736000,1.361394000,0.566667000,41.885414000,0,0,1,0,0,0-149
105,108,1341846651.422236919,0.089894684,0.142015008,0.424366525,0.017577522,0.011065713,1.588467216,1,482,482,362,634,476,0.083333000,0.041494000,1.439002000,0.600000000,44.565236000,0,0,1,0,0,0-149
106,109,1341846651.492135048,0.069707618,0.122521211,0.424366525,0.025579918,0.025620695,0.998408443,1,458,458,296,600,457,0.078125000,0.034934000,2.134260000,0.600000000,43.756017000,0,1,1,0,0,0-149
107,110,1341846651.522099018,0.047570107,0.108518962,0.424366525,0.020475016,0.009938310,2.060211121,0,285,285,285,595,281,0.056315000,0.052632000,1.476230000,0.600000000,42.961239000,0,0,1,0,0,0-149
108,111,1341846651.560316086,0.033780464,0.097602258,0.424366525,0.019439687,0.014283207,1.361016947,1,453,453,238,565,450,0.081055000,0.026490000,1.496316000,0.566667000,39.859020000,0,0,1,0,0,0-149
109,112,1341846651.590584993,0.023417794,0.090080773,0.424366525,0.016077014,0.011483466,1.400014044,1,475,475,282,618,472,0.081380000,0.037895000,1.368958000,0.566667000,40.702742000,0,0,1,0,0,0-149
110,113,1341846651.622175932,0.013025265,0.083427486,0.424366525,0.019740527,0.011194195,1.763461048,1,464,464,301,617,462,0.081706000,0.017241000,1.557799000,0.600000000,41.831903000,0,0,1,0,0,0-149
111,114,1341846651.654222965,0.009424801,0.076103721,0.424366525,0.020254296,0.011344161,1.785437923,1,475,475,315,629,471,0.084961000,0.033684000,1.492669000,0.600000000,42.399762000,0,0,1,0,0,0-149
112,115,1341846651.690126896,0.020248677,0.066675444,0.424366525,0.023364796,0.015897799,1.469687510,0,284,284,284,594,282,0.053385000,0.056338000,2.778312000,0.633333000,43.735452000,0,1,1,0,0,0-149
113,116,1341846651.722317934,0.032366994,0.063317708,0.424366525,0.025858721,0.012320308,2.098869623,1,433,433,230,552,431,0.079102000,0.020785000,1.875760000,0.633333000,40.832962000,0,0,1,0,0,0-149
114,117,1341846651.754211903,0.054319214,0.058832805,0.424366525,0.031141503,0.012316655,2.528405846,1,445,445,278,575,445,0.082031000,0.024719000,1.983509000,0.666667000,41.574967000,0,0,1,0,0,0-149
115,118,1341846651.790199995,0.068293196,0.050078996,0.424366525,0.027744776,0.017706496,1.566926425,1,390,390,256,614,390,0.074544000,0.041026000,1.723363000,0.700000000,42.080496000,0,0,1,0,0,0-149
116,119,1341846651.822232962,0.079920748,0.046093098,0.424366525,0.024331536,0.012954150,1.878281201,1,416,416,190,496,378,0.063151000,0.122596000,1.240501000,0.700000000,40.631194000,0,0,1,0,0,0-149
117,120,1341846651.858212948,0.099681175,0.033299473,0.424366525,0.029311604,0.016604216,1.765310923,1,418,418,189,486,381,0.061849000,0.102871000,1.844643000,0.700000000,40.006310000,0,0,1,0,0,0-149
118,121,1341846651.890237093,0.074465950,0.033227618,0.424366525,0.036269638,0.012347469,2.937414657,1,372,372,205,532,355,0.059245000,0.051075000,1.349497000,0.700000000,38.956305000,0,0,1,0,0,0-149
119,122,1341846651.922185898,0.078494741,0.031632101,0.424366525,0.025718854,0.011345924,2.266792297,1,305,305,214,523,295,0.049479000,0.045902000,0.744933000,0.733333000,40.701932000,1,0,1,0,0,0-149
120,123,1341846651.958046913,0.090891584,0.019725127,0.424366525,0.024795720,0.014930171,1.660779417,1,294,294,232,528,288,0.040365000,0.047619000,0.845963000,0.733333000,40.429672000,1,0,1,0,0,0-149
